2019-04-15 12:25:12.5030 | INFO | ASUtestTask.Controllers.PersonManagerController | Ok
2019-04-15 16:02:26.4693 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:02:52.3395 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:05:16.1028 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:05:21.4367 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:05:22.4760 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:05:29.0731 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:05:29.8495 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:05:30.1928 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:05:30.3830 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:17:00.7297 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:42:39.1974 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:42:45.4722 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:42:54.6539 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:42:59.0166 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:42:59.2588 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:01.2063 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:03.8791 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:16.5295 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:20.2930 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:21.1202 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:21.4704 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:22.1234 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:29.7710 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:36.3057 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:37.1019 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:37.4466 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:37.6089 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:37.9915 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:38.2201 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:38.6877 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:38.9543 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:39.2035 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:39.2653 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:40.8506 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:41.4164 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:43:41.7231 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:44:00.4498 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:44:00.9038 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:44:01.2771 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:44:01.5506 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:44:01.8285 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:44:02.1016 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:44:02.2694 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:44:02.3506 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:44:02.8069 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:44:02.9150 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:44:03.1485 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:44:03.3628 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:48:09.1433 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:48:15.9153 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
2019-04-15 16:49:29.3583 | ERROR | ASUtestTask.Controllers.PersonManagerController | Object reference not set to an instance of an object.
